Total sum of movements to win:5930, needed time to win:1.22
freecell D4
stack H2 D3
freecell H3
freecell C11
freecell H5
stack C9 S10
stack S9 C10
stack H8 C9
stack D8 S9
stack H8 D9
stack D8 C9
stack H8 S9
stack H8 S9
stack D8 C9
stack D8 S9
stack D8 C9
stack D9 C10
stack D8 S9
stack C9 D10
stack D9 S10
stack D8 C9
stack S9 C10
stack H8 D9
stack D8 S9
stack H8 C9
stack H8 S9
stack D8 S9
stack D8 C9
stack S9 D10
stack D8 S9
stack H8 C9
stack H8 D9
stack H8 D9
stack H8 S9
stack D8 S9
stack D8 C9
stack D9 S10
stack D8 S9
stack S9 D10
stack D8 S9
stack H8 D9
stack H8 C9
stack H8 D9
stack H8 S9
stack D8 S9
freecell S10
stack D8 H9
stack D4 H5
stack D8 C9
freecell H9
stack D8 S9
stack C9 H10
stack D8 C9
stack S9 C10
stack D8 S9
stack H8 C9
stack H3 D4
stack H8 D9
freecell C9
stack H10 S11
stack C2 H3
stack H2 C3
stack C2 D3
stack D2 H3
stack H2 S3
stack D2 C3
stack C2 H3
stack C9 H10
freecell C2
stack D2 H3
stack D8 C9
stack H2 C3
stack D2 S3
stack H2 D3
stack D8 S9
stack H8 C9
stack H2 C3
stack D2 H3
stack C2 D3
freecell D2
stack H2 S3
stack C2 H3
stack H2 D3
stack C2 S3
stack H8 D9
stack D8 C9
stack H2 C3
stack C2 H3
stack H2 S3
stack C2 D3
stack H8 S9
stack H2 C3
stack D2 H3
freecell H11
stack D2 S3
stack H8 D9
stack C2 H3
stack H2 D3
stack D8 S9
stack D2 C3
stack C2 S3
stack D2 H3
stack D8 C9
stack H2 C3
stack C11 H12
freecell D2
stack H2 D3
stack D8 S9
stack C2 H3
stack H2 C3
stack C2 D3
stack H2 S3
stack D8 C9
stack C2 H3
stack H8 S9
stack H2 C3
stack C2 D3
stack S10 C11
freecell H3
stack H2 S3
stack C3 D4
stack H8 D9
stack D8 S9
stack C9 S10
stack D8 C9
stack S9 H10
stack D8 S9
stack H2 C3
stack C2 S3
stack H2 D3
stack D8 C9
stack S9 C10
stack D8 S9
stack C9 H10
stack D8 C9
stack H2 C3
stack D3 C4
stack H2 D3
stack C3 S4
stack H2 C3
stack D8 S9
stack C9 S10
stack D8 C9
stack S9 H10
stack D8 S9
stack H2 D3
stack C3 D4
stack D8 C9
stack H2 C3
stack S9 C10
stack D8 S9
stack H2 D3
stack H8 C9
stack C3 S4
stack D9 H10
stack H8 D9
stack C9 D10
stack H2 C3
stack D8 C9
stack H8 S9
stack H2 D3
stack C3 D4
stack H2 C3
stack D3 S4
stack H2 D3
stack H8 D9
stack D8 S9
stack H2 C3
stack D3 C4
stack H8 C9
stack H2 D3
stack D9 S10
stack C3 S4
stack H2 C3
stack C2 D3
stack D9 H10
stack H2 S3
stack C3 D4
stack D9 S10
stack H2 C3
stack H8 D9
stack C2 S3
stack D3 S4
stack H2 D3
stack H8 C9
stack D2 C3
stack D9 H10
freecell S10
stack H8 D9
stack D8 C9
stack H8 S9
stack H3 C4
stack D2 H3
freecell C3
stack H8 D9
stack D8 S9
stack H8 C9
stack S10 C11
freecell D4
stack D9 S10
stack H8 D9
stack D8 C9
stack H8 S9
stack D9 H10
stack H8 D9
stack H9 S10
freecell H5
stack H8 S9
stack D8 H9
stack H8 C9
stack D8 S9
stack D8 H9
stack D8 S9
freecell D2
stack H8 S9
stack C2 H3
stack H2 S3
stack C2 D3
stack H8 D9
stack D8 H9
stack C2 H3
stack D8 S9
stack H8 C9
stack C2 D3
