Classifier Name,Training or Test Set,Balanced or Unbalanced,Fold,Number of Training Samples,Number of Non-Healthy Companies,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),ROC-AUC,Accuracy,Precision,Recall,F1 Score,Specificity
LDA,Train,Balanced,1,744,186,79,523,35,107,0.8669,0.8091,0.693,0.4247,0.5267,0.9373
LDA,Test,Balanced,1,744,186,31,2399,218,31,0.8303,0.9071,0.1245,0.5,0.1994,0.9167
Logistic Regression,Train,Balanced,1,744,186,69,526,32,117,0.8654,0.7997,0.6832,0.371,0.4808,0.9427
Logistic Regression,Test,Balanced,1,744,186,30,2431,186,32,0.8349,0.9186,0.1389,0.4839,0.2158,0.9289
Decision Tree,Train,Balanced,1,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,Test,Balanced,1,744,186,35,2149,468,27,0.6928,0.8152,0.0696,0.5645,0.1239,0.8212
Random Forest,Train,Balanced,1,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Test,Balanced,1,744,186,32,2391,226,30,0.8558,0.9044,0.124,0.5161,0.2,0.9136
kNN,Train,Balanced,1,744,186,115,517,41,71,0.9148,0.8495,0.7372,0.6183,0.6725,0.9265
kNN,Test,Balanced,1,744,186,33,2311,306,29,0.8202,0.875,0.0973,0.5323,0.1646,0.8831
Naive Bayes,Train,Balanced,1,744,186,86,504,54,100,0.8509,0.793,0.6143,0.4624,0.5276,0.9032
Naive Bayes,Test,Balanced,1,744,186,30,2318,299,32,0.824,0.8764,0.0912,0.4839,0.1535,0.8857
SVM,Train,Balanced,1,744,186,95,528,30,91,0.896,0.8374,0.76,0.5108,0.6109,0.9462
SVM,Test,Balanced,1,744,186,32,2422,195,30,0.8473,0.916,0.141,0.5161,0.2215,0.9255
Gradient Boosting,Train,Balanced,1,744,186,166,550,8,20,0.9931,0.9624,0.954,0.8925,0.9222,0.9857
Gradient Boosting,Test,Balanced,1,744,186,37,2345,272,25,0.8458,0.8891,0.1197,0.5968,0.1995,0.8961
LDA,Train,Balanced,2,744,186,66,520,38,120,0.8217,0.7876,0.6346,0.3548,0.4552,0.9319
LDA,Test,Balanced,2,744,186,27,2473,144,35,0.8729,0.9332,0.1579,0.4355,0.2318,0.945
Logistic Regression,Train,Balanced,2,744,186,60,527,31,126,0.8191,0.789,0.6593,0.3226,0.4332,0.9444
Logistic Regression,Test,Balanced,2,744,186,23,2503,114,39,0.8619,0.9429,0.1679,0.371,0.2312,0.9564
Decision Tree,Train,Balanced,2,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,Test,Balanced,2,744,186,39,2091,526,23,0.714,0.7951,0.069,0.629,0.1244,0.799
