Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
Random Forest,Train,1,0.3685,0.1421,0.1187,53.0825,118.2736,45.6276,38.0928,34.0199
Random Forest,Test,1,0.4619,0.1739,0.1447,65.1904,148.2631,55.8352,46.4532,42.6335
Gaussian Process,Train,1,0.482,0.1609,0.1301,57.4117,154.7255,51.6458,41.7776,37.2367
Gaussian Process,Test,1,0.4614,0.1644,0.1316,55.52,148.104,52.788,42.2433,36.7339
Gradient Boosting,Train,1,0.3732,0.1427,0.1176,51.1027,119.7919,45.8024,37.7343,33.3805
Gradient Boosting,Test,1,0.4594,0.1704,0.1361,58.4643,147.472,54.6975,43.6793,38.7739
Ridge Regression,Train,1,0.4979,0.1654,0.1341,59.8664,159.8307,53.1071,43.0357,38.7693
Ridge Regression,Test,1,0.4772,0.1752,0.1405,58.2034,153.1652,56.2414,45.1137,38.8262
Random Forest,Train,2,0.4017,0.1275,0.1044,46.674,128.946,40.9127,33.5085,29.8717
Random Forest,Test,2,0.4136,0.1567,0.1257,51.2901,132.752,50.2885,40.3379,33.2631
Gaussian Process,Train,2,0.4643,0.1632,0.1311,57.6474,149.042,52.3742,42.0972,37.602
Gaussian Process,Test,2,0.3642,0.1496,0.1192,51.1413,116.8929,48.0136,38.2492,32.5891
Gradient Boosting,Train,2,0.4332,0.1475,0.1201,53.4027,139.0681,47.3326,38.5533,34.5299
Gradient Boosting,Test,2,0.4126,0.1559,0.126,48.9488,132.4454,50.0443,40.443,32.243
Ridge Regression,Train,2,0.4766,0.1713,0.1399,62.3645,153.0009,54.9771,44.9211,40.4697
Ridge Regression,Test,2,0.3976,0.1485,0.1157,47.7629,127.6178,47.6711,37.1458,30.8731
Random Forest,Train,3,0.4103,0.1369,0.1109,51.5744,131.6976,43.9437,35.6084,32.5345
Random Forest,Test,3,0.4255,0.2009,0.1741,73.1483,136.5905,64.5012,55.871,48.2657
Gaussian Process,Train,3,0.4643,0.1517,0.1213,53.2886,149.0526,48.6916,38.9274,34.7259
Gaussian Process,Test,3,0.4331,0.1952,0.1653,69.8521,139.0292,62.6738,53.064,46.3258
Gradient Boosting,Train,3,0.4375,0.1366,0.1091,49.066,140.4386,43.84,35.0202,31.481
Gradient Boosting,Test,3,0.4984,0.2072,0.1747,72.0538,159.9959,66.4971,56.0873,47.9649
Ridge Regression,Train,3,0.4845,0.1634,0.132,58.4743,155.5253,52.4443,42.3669,38.1413
Ridge Regression,Test,3,0.4666,0.1861,0.1573,70.3261,149.7863,59.7234,50.4957,45.9949
Random Forest,Train,4,0.4162,0.1238,0.1,43.6106,133.5902,39.754,32.1128,28.6361
Random Forest,Test,4,0.4205,0.1694,0.139,57.0225,134.9871,54.3779,44.6226,34.4498
Gaussian Process,Train,4,0.4857,0.1605,0.129,55.8535,155.9199,51.5204,41.4102,37.2879
Gaussian Process,Test,4,0.4347,0.1596,0.1282,51.3696,139.5496,51.2246,41.1437,30.5399
Gradient Boosting,Train,4,0.4143,0.1379,0.1144,52.8351,132.9749,44.276,36.7346,34.1712
Gradient Boosting,Test,4,0.4292,0.1738,0.145,62.4244,137.7652,55.7837,46.543,36.7545
Ridge Regression,Train,4,0.4905,0.1676,0.1354,59.1885,157.4584,53.8084,43.4678,39.4972
Ridge Regression,Test,4,0.3933,0.1647,0.1351,54.9127,126.2616,52.8821,43.3783,32.7462
Random Forest,Train,5,0.383,0.1236,0.1009,45.6453,122.9433,39.6769,32.3832,28.6424
Random Forest,Test,5,0.5344,0.1877,0.1534,66.9804,171.5402,60.2406,49.2541,46.0084
Gaussian Process,Train,5,0.4628,0.1586,0.1277,57.2314,148.555,50.9153,40.9902,36.0941
Gaussian Process,Test,5,0.3627,0.1698,0.1342,55.4297,116.4216,54.5162,43.0869,40.5907
Gradient Boosting,Train,5,0.4435,0.161,0.135,63.6003,142.3705,51.6924,43.339,39.3411
Gradient Boosting,Test,5,0.4649,0.1887,0.1589,70.919,149.2412,60.5764,51.012,47.5633
Ridge Regression,Train,5,0.471,0.1667,0.1354,60.4124,151.187,53.5207,43.4509,38.3206
Ridge Regression,Test,5,0.3787,0.1702,0.1361,57.9426,121.5737,54.636,43.6994,42.1396
Random Forest,Train,6,0.3856,0.1246,0.1015,44.5022,123.7763,40.0003,32.5973,28.6982
Random Forest,Test,6,0.5182,0.1733,0.1434,75.4208,166.3456,55.6347,46.0225,47.0416
Gaussian Process,Train,6,0.4942,0.1575,0.1261,54.2206,158.6276,50.5549,40.4931,35.5308
Gaussian Process,Test,6,0.4905,0.1783,0.1449,73.8263,157.4517,57.2286,46.5228,46.6438
Gradient Boosting,Train,6,0.4976,0.1414,0.1139,49.096,159.719,45.3894,36.5544,31.9899
Gradient Boosting,Test,6,0.5059,0.1786,0.1484,74.0132,162.3975,57.332,47.6423,46.8585
Ridge Regression,Train,6,0.4969,0.1634,0.1316,56.6145,159.5079,52.4378,42.23,37.1726
Ridge Regression,Test,6,0.4804,0.1847,0.1522,78.3072,154.1926,59.2752,48.8576,49.3246
